,Disease,Year,Month,Count
0,Anthrax,2016,Jan.,0
1,"Arboviral diseases, Chikungunya virus disease",2016,Jan.,24
2,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Jan.,0
3,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Jan.,0
4,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Jan.,0
5,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Jan.,0
6,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Jan.,0
7,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Jan.,0
8,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Jan.,0
9,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Jan.,0
10,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Jan.,0
11,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Jan.,0
12,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Jan.,0
13,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Jan.,1
14,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Jan.,0
15,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Jan.,0
16,"Babesiosis, Total",2016,Jan.,18
17,"Babesiosis, Confirmed",2016,Jan.,11
18,"Babesiosis, Probable",2016,Jan.,7
19,"Botulism, Total",2016,Jan.,9
20,"Botulism, Foodborne",2016,Jan.,0
21,"Botulism, Infant",2016,Jan.,9
22,"Botulism, Other (wound & unspecified)",2016,Jan.,0
23,Brucellosis,2016,Jan.,5
24,Campylobacteriosis,2016,Jan.,"3,289"
25,Chancroid,2016,Jan.,0
26,Chlamydia trachomatis infection,2016,Jan.,"118,413"
27,Cholera,2016,Jan.,3
28,Coccidioidomycosis,2016,Jan.,832
29,"Cryptosporidiosis, Total",2016,Jan.,486
30,"Cryptosporidiosis, Confirmed",2016,Jan.,300
31,"Cryptosporidiosis, Probable",2016,Jan.,186
