Disease,Year,Month,ym,Numerical_Month,Count
Anthrax,2016,Apr.,3,4,0.0
Anthrax,2016,Aug.,7,8,0.0
Anthrax,2016,Dec.,11,12,0.0
Anthrax,2016,Feb.,1,2,0.0
Anthrax,2016,Jan.,0,1,0.0
Anthrax,2016,July,6,7,0.0
Anthrax,2016,June,5,6,0.0
Anthrax,2016,Mar.,2,3,0.0
Anthrax,2016,May,4,5,0.0
Anthrax,2016,Nov.,10,11,0.0
Anthrax,2016,Oct.,9,10,0.0
Anthrax,2016,Sept.,8,9,0.0
Anthrax,2017,Apr.,15,4,0.0
Anthrax,2017,Aug.,19,8,0.0
Anthrax,2017,Dec.,23,12,0.0
Anthrax,2017,Feb.,13,2,0.0
Anthrax,2017,Jan.,12,1,0.0
Anthrax,2017,July,18,7,0.0
Anthrax,2017,June,17,6,0.0
Anthrax,2017,Mar.,14,3,0.0
Anthrax,2017,May,16,5,0.0
Anthrax,2017,Nov.,22,11,0.0
Anthrax,2017,Oct.,21,10,0.0
Anthrax,2017,Sept.,20,9,0.0
Anthrax,2018,Apr.,27,4,0.0
Anthrax,2018,Aug.,31,8,0.0
Anthrax,2018,Dec.,35,12,0.0
Anthrax,2018,Feb.,25,2,0.0
Anthrax,2018,Jan.,24,1,0.0
Anthrax,2018,July,30,7,0.0
Anthrax,2018,June,29,6,0.0
Anthrax,2018,Mar.,26,3,0.0
Anthrax,2018,May,28,5,0.0
Anthrax,2018,Nov.,34,11,0.0
Anthrax,2018,Oct.,33,10,0.0
Anthrax,2018,Sept.,32,9,1.0
Babesiosis,2016,Apr.,3,4,28.0
Babesiosis,2016,Aug.,7,8,379.0
Babesiosis,2016,Dec.,11,12,164.0
Babesiosis,2016,Feb.,1,2,9.0
Babesiosis,2016,Jan.,0,1,18.0
Babesiosis,2016,July,6,7,686.0
Babesiosis,2016,June,5,6,249.0
Babesiosis,2016,Mar.,2,3,8.0
Babesiosis,2016,May,4,5,50.0
Babesiosis,2016,Nov.,10,11,57.0
Babesiosis,2016,Oct.,9,10,117.0
Babesiosis,2016,Sept.,8,9,145.0
Babesiosis,2017,Apr.,15,4,20.0
Babesiosis,2017,Aug.,19,8,514.0
Babesiosis,2017,Dec.,23,12,178.0
Babesiosis,2017,Feb.,13,2,11.0
Babesiosis,2017,Jan.,12,1,17.0
Babesiosis,2017,July,18,7,846.0
Babesiosis,2017,June,17,6,262.0
Babesiosis,2017,Mar.,14,3,14.0
Babesiosis,2017,May,16,5,68.0
Babesiosis,2017,Nov.,22,11,76.0
Babesiosis,2017,Oct.,21,10,115.0
Babesiosis,2017,Sept.,20,9,247.0
Babesiosis,2018,Apr.,27,4,15.0
Babesiosis,2018,Aug.,31,8,412.0
Babesiosis,2018,Dec.,35,12,183.0
Babesiosis,2018,Feb.,25,2,17.0
Babesiosis,2018,Jan.,24,1,10.0
Babesiosis,2018,July,30,7,682.0
Babesiosis,2018,June,29,6,385.0
Babesiosis,2018,Mar.,26,3,16.0
Babesiosis,2018,May,28,5,39.0
Babesiosis,2018,Nov.,34,11,75.0
Babesiosis,2018,Oct.,33,10,104.0
Babesiosis,2018,Sept.,32,9,222.0
Botulism,2016,Apr.,3,4,24.0
Botulism,2016,Aug.,7,8,12.0
Botulism,2016,Dec.,11,12,23.0
Botulism,2016,Feb.,1,2,11.0
Botulism,2016,Jan.,0,1,9.0
Botulism,2016,July,6,7,17.0
Botulism,2016,June,5,6,40.0
Botulism,2016,Mar.,2,3,23.0
Botulism,2016,May,4,5,11.0
Botulism,2016,Nov.,10,11,19.0
Botulism,2016,Oct.,9,10,18.0
Botulism,2016,Sept.,8,9,20.0
Botulism,2017,Apr.,15,4,21.0
Botulism,2017,Aug.,19,8,17.0
Botulism,2017,Dec.,23,12,29.0
Botulism,2017,Feb.,13,2,13.0
Botulism,2017,Jan.,12,1,11.0
Botulism,2017,July,18,7,14.0
Botulism,2017,June,17,6,13.0
Botulism,2017,Mar.,14,3,11.0
Botulism,2017,May,16,5,21.0
Botulism,2017,Nov.,22,11,21.0
Botulism,2017,Oct.,21,10,12.0
Botulism,2017,Sept.,20,9,15.0
Botulism,2018,Apr.,27,4,23.0
Botulism,2018,Aug.,31,8,20.0
Botulism,2018,Dec.,35,12,34.0
Botulism,2018,Feb.,25,2,17.0
Botulism,2018,Jan.,24,1,19.0
Botulism,2018,July,30,7,17.0
Botulism,2018,June,29,6,27.0
Botulism,2018,Mar.,26,3,21.0
Botulism,2018,May,28,5,18.0
Botulism,2018,Nov.,34,11,24.0
Botulism,2018,Oct.,33,10,24.0
Botulism,2018,Sept.,32,9,32.0
Brucellosis,2016,Apr.,3,4,14.0
Brucellosis,2016,Aug.,7,8,17.0
Brucellosis,2016,Dec.,11,12,19.0
Brucellosis,2016,Feb.,1,2,6.0
Brucellosis,2016,Jan.,0,1,5.0
Brucellosis,2016,July,6,7,4.0
Brucellosis,2016,June,5,6,10.0
Brucellosis,2016,Mar.,2,3,12.0
Brucellosis,2016,May,4,5,12.0
Brucellosis,2016,Nov.,10,11,5.0
Brucellosis,2016,Oct.,9,10,12.0
Brucellosis,2016,Sept.,8,9,11.0
Brucellosis,2017,Apr.,15,4,19.0
Brucellosis,2017,Aug.,19,8,10.0
Brucellosis,2017,Dec.,23,12,19.0
Brucellosis,2017,Feb.,13,2,10.0
Brucellosis,2017,Jan.,12,1,0.0
