Disease	Female, No.	Female, Rate	Male, No.	Male, Rate	Sex not stated, No.	Total, No.
Anthrax 	—	—	1	0.00	—	1
Arboviral diseases, Chikungunya virus disease 	79	0.05	38	0.02	—	117
Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive 	3	0.00	3	0.00	—	6
Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive 	—	—	—	—	—	—
Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive 	5	0.00	20	0.01	—	25
Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive 	1	0.00	15	0.01	—	16
Arboviral diseases, La Crosse  virus disease, Neuroinvasive 	43	0.03	40	0.02	—	83
Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive 	—	—	3	0.00	—	3
Arboviral diseases, Powassan virus disease, Neuroinvasive 	7	0.00	14	0.01	—	21
Arboviral diseases, Powassan virus disease, Non-neuroinvasive 	—	—	—	—	—	—
Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive 	2	0.00	3	0.00	—	5
Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive 	2	0.00	1	0.00	—	3
Arboviral diseases, West Nile virus disease, Neuroinvasive 	604	0.36	1,053	0.65	—	1,657
Arboviral diseases, West Nile virus disease, Non-neuroinvasive 	405	0.24	584	0.36	—	989
Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive 	—	—	—	—	—	—
Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive 	—	—	—	—	—	—
Babesiosis, Total 	765	0.55	1,393	1.04	2	2,160
Babesiosis, Confirmed 	651	0.47	1,208	0.90	2	1,861
Babesiosis, Probable 	114	0.08	185	0.14	—	299
Botulism, Total 	112	0.07	113	0.07	—	225
Botulism, Foodborne 	11	0.01	6	0.00	—	17
Botulism, Infant 	86	4.58	71	3.61	—	157
Botulism, Other (wound & unspecified) 	15	0.01	36	0.02	—	51
Brucellosis 	56	0.03	82	0.05	—	138
Campylobacteriosis 	33,351	20.09	36,693	22.77	156	70,200
Chancroid 	—	—	3	0.00	—	3
Chlamydia trachomatis infection 	1,145,063	689.64	610,447	378.86	3,158	1,758,668
Cholera 	5	0.00	9	0.01	—	14
Coccidioidomycosis *	7,032	10.33	8,552	12.82	27	15,611
Cryptosporidiosis, Total 	6,476	3.90	6,038	3.75	19	12,533
Cryptosporidiosis, Confirmed 	4,540	2.73	4,428	2.75	12	8,980
Cryptosporidiosis, Probable 	1,936	1.17	1,610	1.00	7	3,553
Cyclosporiasis 	1,924	1.30	1,594	1.11	1	3,519
Dengue virus infections, Dengue †	215	0.13	209	0.13	—	424
Dengue virus infections, Dengue-like illness †	19	0.01	22	0.01	—	41
Dengue virus infections, Severe dengue †	8	0.00	1	0.00	—	9
Diphtheria 	1	0.00	—	—	—	1
Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection 	1,575	0.98	2,430	1.57	3	4,008
Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection 	803	0.50	992	0.64	4	1,799
Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection 	10	0.01	23	0.01	—	33
Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis 	127	0.08	156	0.10	—	283
Giardiasis 	5,957	4.58	9,540	7.55	51	15,548
Gonorrhea 	241,074	145.19	341,401	211.88	930	583,405
Haemophilus influenzae, invasive disease, All ages, all serotypes 	2,972	1.79	2,568	1.59	33	5,573
Haemophilus influenzae, invasive disease, Age <5 years, Serotype b 	16	0.17	22	0.22	—	38
Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype 	76	0.79	115	1.13	—	191
Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable 	97	1.00	123	1.21	2	222
Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype 	72	0.74	102	1.01	1	175
Hansen's disease 	30	0.02	43	0.03	17	90
Hantavirus infection, non-hantavirus pulmonary syndrome 	1	0.00	1	0.00	—	2
Hantavirus pulmonary syndrome 	10	0.01	8	0.01	—	18
Hemolytic uremic syndrome post-diarrheal 	220	0.14	156	0.10	—	376
Hepatitis, A, acute §	4,951	2.98	7,497	4.65	26	12,474
Hepatitis, B, acute §	1,260	0.76	2,050	1.28	12	3,322
Hepatitis, B, perinatal infection §	15	0.40	8	0.20	—	23
Hepatitis, C, acute §	2,058	1.31	2,706	1.77	4	4,768
Hepatitis, C, acute, Confirmed §	1,605	1.02	2,012	1.32	4	3,621
Hepatitis, C, acute, Probable §	453	0.29	694	0.45	—	1,147
Hepatitis, C, perinatal infection §	117	0.08	97	0.07	—	214
Human immunodeficiency virus diagnoses 	6,286	3.79	26,713	16.58	—	32,999
Influenza-associated pediatric mortality 	90	0.25	69	0.18	—	159
