Disease	Case Count	Rate
Anthrax 	1	0.00
Arboviral diseases, Chikungunya virus disease 	117	0.04
Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive 	6	0.00
Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive 	—	—
Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive 	25	0.01
Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive 	16	0.00
Arboviral diseases, La Crosse  virus disease, Neuroinvasive 	83	0.03
Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive 	3	0.00
Arboviral diseases, Powassan virus disease, Neuroinvasive 	21	0.01
Arboviral diseases, Powassan virus disease, Non-neuroinvasive 	—	—
Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive 	5	0.00
Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive 	3	0.00
Arboviral diseases, West Nile virus disease, Neuroinvasive 	1,657	0.51
Arboviral diseases, West Nile virus disease, Non-neuroinvasive 	989	0.30
Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive 	—	—
Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive 	—	—
Babesiosis, Total 	2,160	0.79
Babesiosis, Confirmed 	1,861	0.68
Babesiosis, Probable 	299	0.11
Botulism, Total 	225	0.07
Botulism, Foodborne 	17	0.01
Botulism, Infant 	157	4.08
Botulism, Other (wound & unspecified) 	51	0.02
Brucellosis 	138	0.04
Campylobacteriosis 	70,200	21.46
Chancroid 	3	0.00
Chlamydia trachomatis infection 	1,758,668	537.54
Cholera 	14	0.00
Coccidioidomycosis *	15,611	11.58
Cryptosporidiosis, Total 	12,533	3.83
Cryptosporidiosis, Confirmed 	8,980	2.74
Cryptosporidiosis, Probable 	3,553	1.09
Cyclosporiasis 	3,519	1.20
Dengue virus infections, Dengue †	424	0.13
Dengue virus infections, Dengue-like illness †	41	0.01
Dengue virus infections, Severe dengue †	9	0.00
Diphtheria 	1	0.00
Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection 	4,008	1.27
Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection 	1,799	0.57
Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection 	33	0.01
Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis 	283	0.09
Giardiasis 	15,548	6.06
Gonorrhea 	583,405	178.32
Haemophilus influenzae, invasive disease, All ages, all serotypes 	5,573	1.70
Haemophilus influenzae, invasive disease, Age <5 years, Serotype b 	38	0.19
Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype 	191	0.96
Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable 	222	1.12
Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype 	175	0.88
Hansen's disease 	90	0.03
Hantavirus infection, non-hantavirus pulmonary syndrome 	2	0.00
Hantavirus pulmonary syndrome 	18	0.01
Hemolytic uremic syndrome post-diarrheal 	376	0.12
Hepatitis, A, acute §	12,474	3.81
Hepatitis, B, acute §	3,322	1.02
Hepatitis, B, perinatal infection §	23	0.30
Hepatitis, C, acute §	4,768	1.54
Hepatitis, C, acute, Confirmed §	3,621	1.17
Hepatitis, C, acute, Probable §	1,147	0.37
Hepatitis, C, perinatal infection §	214	0.07
Human immunodeficiency virus diagnoses 	32,999	10.09
Influenza-associated pediatric mortality 	159	0.22
Invasive pneumococcal disease, All ages ¶	19,857	8.14
Invasive pneumococcal disease, All ages, Confirmed ¶	19,619	8.04
Invasive pneumococcal disease, All ages, Probable ¶	238	0.10
Invasive pneumococcal disease, Age <5 years ¶	1,116	0.43
Invasive pneumococcal disease, Age <5 years, Confirmed ¶	1,078	6.80
Invasive pneumococcal disease, Age <5 years, Probable ¶	38	0.24
Legionellosis 	9,933	3.04
Leptospirosis 	91	0.04
Listeriosis 	864	0.26
Lyme disease, Total 	33,666	10.34
Lyme disease, Confirmed 	23,558	7.23
Lyme disease, Probable 	10,108	3.10
Malaria 	1,748	0.53
Measles, Total 	375	0.11
Measles, Indigenous 	296	0.09
Measles, Imported 	79	0.02
Meningococcal disease, All serogroups 	327	0.10
Meningococcal disease, Serogroups ACWY 	100	0.03
Meningococcal disease, Serogroup B 	81	0.02
Meningococcal disease, Other serogroups 	23	0.01
Meningococcal disease, Unknown serogroup 	123	0.04
Mumps 	2,515	0.77
Novel Influenza A virus infections 	14	0.00
Paratyphoid fever **	133	0.04
Pertussis 	15,609	4.77
Plague 	1	0.00
Poliomyelitis, paralytic 	—	—
Poliovirus infection, nonparalytic 	—	—
Psittacosis 	22	0.01
Q fever, Total 	215	0.07
Q fever, Acute 	178	0.05
Q fever, Chronic 	37	0.01
Rabies, Animal 	4,984	1.52
Rabies, Human 	3	0.00
Rubella 	4	0.00
Rubella, congenital syndrome 	—	—
Salmonellosis (excluding paratyphoid fever and typhoid fever) ††	60,999	18.64
Severe acute respiratory syndrome-associated coronavirus disease 	—	—
Shiga toxin-producing Escherichia coli (STEC) 	15,996	4.89
Shigellosis 	16,333	4.99
Smallpox 	—	—
Spotted fever rickettsiosis, Total 	5,544	1.71
Spotted fever rickettsiosis, Confirmed 	124	0.04
Spotted fever rickettsiosis, Probable 	5,420	1.67
Streptococcal toxic shock syndrome 	371	0.18
Syphilis, Total, all stages §§	115,045	35.16
Syphilis, Congenital 	1,306	34.44
Syphilis, Primary and secondary 	35,063	10.72
Tetanus 	23	0.01
Toxic shock syndrome (other than Streptococcal) 	33	0.01
Trichinellosis 	1	0.00
Tuberculosis 	9,025	2.76
Tularemia 	229	0.07
Typhoid fever 	401	0.12
Vancomycin-intermediate Staphylococcus aureus 	85	0.03
Vancomycin-resistant Staphylococcus aureus 	—	—
Varicella morbidity 	8,201	3.07
