Disease	Jan.	Feb.	Mar.	Apr.	May	June	July	Aug.	Sept.	Oct.	Nov.	Dec.	Unknown	Total
Anthrax 	—	—	—	—	—	—	—	—	1	—	—	—	—	1
Arboviral diseases, Chikungunya virus disease 	7	4	4	11	9	11	18	17	13	9	4	10	—	117
Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive 	—	—	—	—	—	2	—	2	1	1	—	—	—	6
Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive 	—	—	—	1	2	2	5	4	6	5	—	—	—	25
Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive 	—	—	—	—	1	3	5	1	4	—	1	1	—	16
Arboviral diseases, La Crosse  virus disease, Neuroinvasive 	—	—	—	—	—	3	17	24	21	14	3	1	—	83
Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive 	—	—	—	—	—	1	—	—	2	—	—	—	—	3
Arboviral diseases, Powassan virus disease, Neuroinvasive 	—	—	1	1	2	5	6	—	1	2	2	1	—	21
Arboviral diseases, Powassan virus disease, Non-neuroinvasive 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive 	—	—	—	—	—	—	—	1	1	2	1	—	—	5
Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive 	—	—	—	—	—	—	2	—	—	1	—	—	—	3
Arboviral diseases, West Nile virus disease, Neuroinvasive 	2	2	—	2	3	4	146	546	710	160	58	24	—	1,657
Arboviral diseases, West Nile virus disease, Non-neuroinvasive 	—	—	1	1	3	9	146	354	406	48	12	9	—	989
Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive 	—	—	—	—	—	—	—	—	—	—	—	—	—	—
Babesiosis, Total 	10	17	16	15	39	385	682	412	222	104	75	183	—	2,160
Babesiosis, Confirmed 	8	10	11	9	26	327	601	372	184	91	63	159	—	1,861
Babesiosis, Probable 	2	7	5	6	13	58	81	40	38	13	12	24	—	299
Botulism, Total 	17	14	19	18	14	21	13	16	22	20	21	30	—	225
Botulism, Foodborne 	1	—	—	2	—	3	3	—	1	1	1	5	—	17
Botulism, Infant 	14	11	17	11	10	12	6	12	11	15	17	21	—	157
Botulism, Other (wound & unspecified) 	2	3	2	5	4	6	4	4	10	4	3	4	—	51
Brucellosis 	3	5	14	17	15	14	10	12	14	6	14	14	—	138
Campylobacteriosis 	3,244	3,321	4,836	4,699	5,407	9,038	7,607	6,864	7,124	5,220	4,796	8,044	—	70,200
Chancroid 	—	—	1	1	—	—	—	1	—	—	—	—	—	3
Chlamydia trachomatis infection 	126,499	134,590	169,317	136,608	135,445	163,507	131,200	144,821	176,966	141,520	128,844	169,351	—	1,758,668
Cholera 	—	2	—	—	1	1	1	—	4	2	1	2	—	14
Coccidioidomycosis †	1,880	1,304	1,389	995	1,131	1,356	1,197	1,160	1,354	1,211	1,127	1,507	—	15,611
Cryptosporidiosis, Total 	539	533	780	779	795	1,202	1,452	1,768	1,774	1,023	781	1,107	—	12,533
Cryptosporidiosis, Confirmed 	347	328	508	512	521	854	1,100	1,316	1,351	765	566	812	—	8,980
Cryptosporidiosis, Probable 	192	205	272	267	274	348	352	452	423	258	215	295	—	3,553
Cyclosporiasis 	4	7	15	22	148	1,147	1,639	325	113	26	20	53	—	3,519
Dengue virus infections, Dengue §	19	9	5	13	14	20	49	56	47	50	70	72	—	424
Dengue virus infections, Dengue-like illness §	2	1	—	2	—	3	2	6	8	3	6	8	—	41
Dengue virus infections, Severe dengue §	—	—	—	—	—	—	1	—	2	2	2	2	—	9
Diphtheria 	—	—	—	—	—	—	—	—	—	1	—	—	—	1
Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection 	15	30	40	93	414	1,202	762	424	378	246	227	177	—	4,008
Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection 	7	15	22	37	136	464	376	227	211	88	47	169	—	1,799
Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection 	—	—	—	—	1	8	13	3	4	2	2	—	—	33
Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis 	3	1	8	8	23	78	54	31	30	20	16	11	—	283
Giardiasis 	929	1,021	1,338	994	1,039	1,338	1,334	1,638	1,974	1,266	1,005	1,672	—	15,548
Gonorrhea 	42,421	41,729	51,973	42,765	43,558	55,240	45,523	48,239	60,385	48,206	44,278	59,088	—	583,405
Haemophilus influenzae, invasive disease, All ages, all serotypes 	555	478	582	441	425	556	365	299	428	351	369	724	—	5,573
Haemophilus influenzae, invasive disease, Age <5 years, Serotype b 	3	3	1	5	5	8	1	2	2	2	1	5	—	38
