,Disease,Rate_sum
26,Chlamydia trachomatis infection,5065591.0
42,Gonorrhea,1607527.0
104,"Syphilis, Total, all stages",304654.0
24,Campylobacteriosis,197857.0
67,"Lyme disease, Total",112838.0
92,Salmonellosis,108135.0
56,Human immunodeficiency virus diagnoses,101712.0
105,"Syphilis, Primary and secondary",93521.0
95,Salmonellosis (excluding paratyphoid fever and typhoid fever),60999.0
58,"Invasive pneumococcal disease, All ages",57263.0
81,Pertussis,52556.0
97,Shigellosis,52342.0
41,Giardiasis,47051.0
28,Coccidioidomycosis,41804.0
28,"Cryptosporidiosis, Total",37400.0
107,Tuberculosis,27402.0
112,Varicella morbidity,25929.0
66,Legionellosis,23532.0
51,"Hepatitis, A, acute",17846.0
94,Shiga toxin-producing Escherichia coli,16841.0
100,"Spotted fever rickettsiosis, Total",16061.0
43,"Haemophilus influenzae, invasive disease, All ages, all serotypes",16016.0
97,Shiga toxin-producing Escherichia coli (STEC),15996.0
81,Mumps,14993.0
36,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",13921.0
54,"Hepatitis, C, acute",11935.0
53,"Hepatitis, B, acute",9949.0
15,"Babesiosis, Total",6438.0
115,"Vibriosis, Total",6322.0
72,Malaria,5759.0
127,"Zika virus, Zika virus disease, non-congenital",5708.0
32,Cyclosporiasis,5250.0
37,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",4818.0
63,"Invasive pneumococcal disease, Age <5 years",3492.0
104,"Syphilis, Congenital",2852.0
12,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2733.0
68,Listeriosis,2537.0
12,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2502.0
129,"Zika virus, Zika virus infection, non-congenital",1797.0
33,"Dengue virus infections, Dengue",1764.0
112,Typhoid fever,1196.0
76,"Meningococcal disease, All serogroups",1055.0
103,Streptococcal toxic shock syndrome,1026.0
51,Hemolytic uremic syndrome post-diarrheal,1021.0
40,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",752.0
111,Tularemia,698.0
